2017-12-13 23:07:27 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (5111a57e69e498532bc53b9e6e9e9fb0)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:07:34 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:07:34 INFO  LoginInvalid:41 - starting test
2017-12-13 23:07:35 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (5111a57e69e498532bc53b9e6e9e9fb0)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:07:37 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:13:37 INFO  LoginInvalid:41 - starting test
2017-12-13 23:13:40 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (afa65eb1c412239c1cb14e14c7d2b8b6)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:13:49 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:13:49 INFO  LoginInvalid:41 - starting test
2017-12-13 23:13:51 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (afa65eb1c412239c1cb14e14c7d2b8b6)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:13:54 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:13:54 INFO  LoginInvalid:41 - starting test
2017-12-13 23:13:56 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (afa65eb1c412239c1cb14e14c7d2b8b6)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:13:58 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:24:48 INFO  LoginInvalid:41 - starting test
2017-12-13 23:24:51 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c8e897247a0abe0bcddc1a93f8899fd2)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:24:52 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:24:52 INFO  LoginInvalid:41 - starting test
2017-12-13 23:24:54 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c8e897247a0abe0bcddc1a93f8899fd2)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:24:56 INFO  LoginInvalid:46 - Finished test
2017-12-13 23:24:56 INFO  LoginInvalid:41 - starting test
2017-12-13 23:24:58 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (c8e897247a0abe0bcddc1a93f8899fd2)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-13 23:24:59 INFO  LoginInvalid:46 - Finished test
2017-12-14 00:09:15 INFO  LoginInvalid:43 - starting test
2017-12-14 00:09:17 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (bf1e1d1de52635dfb9d079b4fb53103f)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:09:20 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:09:20 INFO  LoginInvalid:43 - starting test
2017-12-14 00:09:22 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (bf1e1d1de52635dfb9d079b4fb53103f)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:09:24 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:09:24 INFO  LoginInvalid:43 - starting test
2017-12-14 00:09:26 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (bf1e1d1de52635dfb9d079b4fb53103f)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:09:28 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:52:58 INFO  LoginInvalid:43 - starting test
2017-12-14 00:53:00 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (ce9e112a22d30625b94f6cf494dd607e)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:53:03 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:53:03 INFO  LoginInvalid:43 - starting test
2017-12-14 00:53:04 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (ce9e112a22d30625b94f6cf494dd607e)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:53:06 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:53:06 INFO  LoginInvalid:43 - starting test
2017-12-14 00:53:08 INFO  HomePage:45 - clicked on sign in[[ChromeDriver: chrome on XP (ce9e112a22d30625b94f6cf494dd607e)] -> xpath: //*[@id="header"]/div[2]/div/div/nav/div[1]/a]
2017-12-14 00:53:10 INFO  LoginInvalid:48 - Finished test
2017-12-14 00:53:10 INFO  TestBase:167 - browser closed
